word,category,sentences
"美麗","Adjective","這片風景非常美麗，吸引了無數遊客前來拍照留念。|她穿著一件美麗的禮服出現在舞會上，每個人都讚不絕口。"
"寒冷","Adjective","冬天的北方非常寒冷，氣溫經常降到零下二十度。|如果不穿厚外套，在這麼寒冷的天氣裡很容易感冒。"
"昂貴","Adjective","這隻名牌手錶價格極其昂貴，普通人根本負擔不起。|這家餐廳的菜餚雖然美味，但價格實在太昂貴了。"
"誠實","Adjective","他是一個誠實的人，從來不說謊或欺騙朋友。|唯有誠實的面對錯誤，才能贏得別人的原諒與信任。"
"狹窄","Adjective","這條小巷子非常狹窄，連一輛小轎車都難以通過。|老舊公寓的走廊十分狹窄，兩個人並肩走都很困難。"
"勤奮","Adjective","他工作非常勤奮，每天都是公司裡最早到最晚走的人。|只要你足夠勤奮，在學業上一定能取得優異的成績。"
"巨大","Adjective","這座雕像規模巨大，遠在幾公里外就能清晰看見。|科學家在深海中發現了一隻體型巨大的未知生物。"
"安靜","Adjective","圖書館裡非常安靜，只聽得到翻書與寫字的聲音。|深夜的小鎮顯得格外安靜，沒有任何車輛經過的嘈雜聲。"
"勇敢","Adjective","那位勇敢的消防員衝進火場，救出了受困的小孩。|面對困難時，我們需要有勇敢的心去挑戰並克服它。"
"憤怒","Adjective","看到辛辛苦苦完成的作品被破壞，他感到非常憤怒。|他因為受到不公平的對待而露出了憤怒的表情。"
"潮濕","Adjective","梅雨季節的空氣非常潮濕，衣服晾了好幾天都不會乾。|這間地下室既陰暗又潮濕，牆角甚至都長出了黴菌。"
"聰明","Adjective","這個孩子非常聰明，簡單的數學題看一眼就知道答案。|她利用聰明的才智，成功解決了公司面臨的重大危機。"
"枯燥","Adjective","這場演講的內容十分枯燥，台下的聽眾都快睡著了。|每天重複同樣的工作讓他覺得生活變得非常枯燥乏味。"
"溫柔","Adjective","護士小姐說話的聲音非常溫柔，讓病人的心情放鬆不少。|她對待流浪貓總是特別溫柔，會輕聲細語地跟牠們說話。"
"茂密","Adjective","這片原始森林裡有著茂密的植被，陽光幾乎照不進來。|夏天的這棵大樹長得非常茂密，提供了一個涼爽的遮蔭處。"
"慷慨","Adjective","這位企業家非常慷慨，每年都會捐出大筆資金幫助窮人。|他對待朋友一向很慷慨，總是主動請客且從不計較金錢。"
"敏捷","Adjective","貓的身手非常敏捷，能輕易地跳上高牆並捕捉獵物。|足球守門員必須擁有敏捷的反應，才能擋住飛速而來的球。"
"混亂","Adjective","車禍發生後，現場交通陷入一片混難，警察正忙著指揮。|這間臥室非常混亂，地上到處都是隨意丟棄的衣服和書本。"
"謙虛","Adjective","儘管他獲得了最高榮譽，但他依然保持謙虛，從不炫耀。|一個謙虛的人往往能虛心接受他人的建議，進而不斷進步。"
"脆弱","Adjective","這件古董瓷器非常脆弱，搬運時必須格外小心。|她在剛失戀時心靈非常脆弱，需要朋友長時間的陪伴。"
"學習","Verb","他每天花三小時學習韓語，希望能流利對話。|終身學習是保持頭腦靈活的最佳方法。"
"跑步","Verb","為了參加馬拉松，他每天清晨都會去公園跑步。|他在操場上跑步，汗水浸透了整件運動衫。"
"烹飪","Verb","她非常喜歡烹飪，總能用簡單的食材做出五星級的料理。|他在廚房烹飪晚餐時，屋子裡充滿了迷人的香味。"
"閱讀","Verb","在安靜的圖書館裡，他正專心地閱讀一本歷史小說。|多閱讀可以增廣見聞，並豐富我們的詞彙量。"
